
--- [START 2018-08-23_19-43-01] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-05
	__file__     = /root/share/project/kaggle/tgs/build/dummy-05/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale/fold0-a

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **

--- [START 2018-08-23_19-43-14] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-05
	__file__     = /root/share/project/kaggle/tgs/build/dummy-05/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale/fold0-a

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train0_3600
valid_dataset.split = list_valid0_400

** net setting **
	initial_checkpoint = /root/share/project/kaggle/tgs/results/unet-5-scale/fold0/checkpoint/00006500_model.pth
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
-------------------------------------------------------------------------------------------------------------------------------
0.0000    6.5    57.8  |  0.062  0.956  (0.785) |  0.000  0.000  |  0.000  0.000  |  0 hr 00 min 
0.0050    6.6    58.7  |  0.065  0.957  (0.782) |  0.005  0.992  |  0.008  0.987  |  0 hr 00 min 
0.0050    6.7    59.6  |  0.064  0.957  (0.784) |  0.005  0.993  |  0.004  0.993  |  0 hr 01 min 
0.0050    6.8    60.4  |  0.065  0.957  (0.786) |  0.005  0.993  |  0.004  0.995  |  0 hr 01 min 
0.0050    6.9    61.3  |  0.065  0.956  (0.779) |  0.004  0.994  |  0.004  0.994  |  0 hr 02 min 
0.0050    7.0    62.2  |  0.069  0.956  (0.783) |  0.004  0.994  |  0.003  0.995  |  0 hr 02 min 
0.0050    7.1    63.1  |  0.069  0.955  (0.780) |  0.004  0.994  |  0.005  0.993  |  0 hr 03 min 
0.0050    7.2    64.0  |  0.070  0.956  (0.779) |  0.003  0.995  |  0.005  0.992  |  0 hr 03 min 
0.0050    7.3    64.9  |  0.071  0.956  (0.777) |  0.004  0.994  |  0.005  0.992  |  0 hr 04 min 
0.0050    7.4    65.8  |  0.070  0.956  (0.784) |  0.004  0.994  |  0.003  0.995  |  0 hr 04 min 
0.0050    7.5    66.7  |  0.070  0.956  (0.771) |  0.004  0.993  |  0.004  0.994  |  0 hr 05 min 
0.0050    7.6    67.6  |  0.069  0.957  (0.777) |  0.004  0.994  |  0.003  0.996  |  0 hr 05 min 
0.0050    7.7    68.4  |  0.072  0.957  (0.768) |  0.004  0.994  |  0.003  0.995  |  0 hr 06 min 
0.0050    7.8    69.3  |  0.075  0.956  (0.776) |  0.004  0.994  |  0.004  0.994  |  0 hr 06 min 
0.0050    7.9    70.2  |  0.075  0.956  (0.769) |  0.004  0.994  |  0.005  0.991  |  0 hr 07 min 
0.0050    8.0    71.1  |  0.072  0.956  (0.772) |  0.004  0.994  |  0.004  0.994  |  0 hr 07 min 
0.0050    8.1    72.0  |  0.073  0.957  (0.777) |  0.003  0.995  |  0.002  0.997  |  0 hr 08 min 
0.0050    8.2    72.9  |  0.073  0.957  (0.781) |  0.002  0.997  |  0.003  0.995  |  0 hr 08 min 
0.0050    8.3    73.8  |  0.074  0.956  (0.773) |  0.003  0.995  |  0.003  0.995  |  0 hr 09 min 
0.0050    8.4    74.7  |  0.074  0.956  (0.768) |  0.004  0.994  |  0.003  0.996  |  0 hr 09 min 
0.0050    8.5    75.6  |  0.076  0.956  (0.775) |  0.003  0.995  |  0.004  0.993  |  0 hr 10 min 
