
--- [START 2018-08-24_02-09-29] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
	pretrain_file = /root/share/project/kaggle/tgs/results/unet-5-scale/fold3/initial/00100000_model.pth

--- [START 2018-08-24_02-09-57] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
-------------------------------------------------------------------------------------------------------------------------------
0.0000    0.0     0.0  |  0.177  0.267  (0.144) |  0.000  0.000  |  0.000  0.000  |  0 hr 00 min 
0.0100    0.1     0.9  |  0.086  0.869  (0.410) |  0.092  0.857  |  0.090  0.889  |  0 hr 00 min 
0.0100    0.2     1.8  |  0.069  0.897  (0.605) |  0.071  0.899  |  0.060  0.916  |  0 hr 01 min 
0.0100    0.3     2.7  |  0.098  0.844  (0.323) |  0.069  0.899  |  0.050  0.942  |  0 hr 01 min 
0.0100    0.4     3.6  |  0.063  0.902  (0.614) |  0.059  0.914  |  0.040  0.953  |  0 hr 02 min 
0.0100    0.5     4.4  |  0.059  0.913  (0.655) |  0.058  0.917  |  0.053  0.908  |  0 hr 02 min 
0.0100    0.6     5.3  |  0.050  0.927  (0.642) |  0.054  0.917  |  0.087  0.899  |  0 hr 02 min 
0.0100    0.7     6.2  |  0.048  0.925  (0.687) |  0.049  0.935  |  0.069  0.896  |  0 hr 03 min 
0.0100    0.8     7.1  |  0.047  0.928  (0.697) |  0.047  0.935  |  0.046  0.943  |  0 hr 03 min 
0.0100    0.9     8.0  |  0.047  0.933  (0.712) |  0.049  0.932  |  0.034  0.959  |  0 hr 04 min 
0.0100    1.0     8.9  |  0.048  0.929  (0.710) |  0.052  0.922  |  0.044  0.931  |  0 hr 04 min 
0.0100    1.1     9.8  |  0.056  0.925  (0.657) |  0.044  0.938  |  0.040  0.958  |  0 hr 05 min 
0.0100    1.2    10.7  |  0.045  0.932  (0.700) |  0.044  0.939  |  0.033  0.947  |  0 hr 05 min 
0.0100    1.3    11.6  |  0.050  0.930  (0.688) |  0.039  0.941  |  0.025  0.966  |  0 hr 06 min 
0.0100    1.4    12.4  |  0.043  0.935  (0.725) |  0.042  0.940  |  0.033  0.950  |  0 hr 06 min 
0.0100    1.5    13.3  |  0.042  0.937  (0.707) |  0.041  0.943  |  0.028  0.967  |  0 hr 07 min 
0.0100    1.6    14.2  |  0.045  0.935  (0.725) |  0.033  0.954  |  0.021  0.983  |  0 hr 07 min 
0.0100    1.7    15.1  |  0.057  0.912  (0.691) |  0.042  0.941  |  0.037  0.941  |  0 hr 08 min 
0.0100    1.8    16.0  |  0.043  0.940  (0.725) |  0.040  0.943  |  0.044  0.947  |  0 hr 08 min 
0.0100    1.9    16.9  |  0.041  0.940  (0.741) |  0.036  0.948  |  0.039  0.946  |  0 hr 09 min 
0.0100    2.0    17.8  |  0.039  0.946  (0.740) |  0.036  0.951  |  0.023  0.970  |  0 hr 09 min 
0.0100    2.1    18.7  |  0.049  0.933  (0.723) |  0.038  0.946  |  0.045  0.937  |  0 hr 10 min 
0.0100    2.2    19.6  |  0.048  0.927  (0.724) |  0.037  0.948  |  0.024  0.973  |  0 hr 10 min 
0.0100    2.3    20.4  |  0.044  0.937  (0.708) |  0.034  0.948  |  0.030  0.964  |  0 hr 11 min 
0.0100    2.4    21.3  |  0.047  0.930  (0.723) |  0.031  0.957  |  0.077  0.872  |  0 hr 11 min 
0.0100    2.5    22.2  |  0.039  0.943  (0.739) |  0.029  0.960  |  0.044  0.933  |  0 hr 11 min 
0.0100    2.6    23.1  |  0.037  0.944  (0.742) |  0.027  0.958  |  0.031  0.956  |  0 hr 12 min 
0.0100    2.7    24.0  |  0.046  0.932  (0.732) |  0.034  0.950  |  0.029  0.970  |  0 hr 12 min 
0.0100    2.8    24.9  |  0.041  0.943  (0.749) |  0.034  0.948  |  0.078  0.891  |  0 hr 13 min 
0.0100    2.9    25.8  |  0.045  0.933  (0.737) |  0.030  0.953  |  0.036  0.931  |  0 hr 13 min 
0.0100    3.0    26.7  |  0.043  0.940  (0.739) |  0.028  0.961  |  0.036  0.948  |  0 hr 14 min 
0.0100    3.1    27.6  |  0.045  0.937  (0.733) |  0.031  0.961  |  0.036  0.940  |  0 hr 14 min 
0.0100    3.2    28.4  |  0.043  0.943  (0.752) |  0.028  0.958  |  0.029  0.937  |  0 hr 15 min 
0.0100    3.3    29.3  |  0.053  0.928  (0.660) |  0.029  0.959  |  0.044  0.915  |  0 hr 15 min 
0.0100    3.4    30.2  |  0.045  0.935  (0.720) |  0.029  0.958  |  0.021  0.968  |  0 hr 16 min 
0.0100    3.5    31.1  |  0.041  0.946  (0.771) |  0.018  0.977  |  0.027  0.951  |  0 hr 16 min 
0.0100    3.6    32.0  |  0.044  0.942  (0.736) |  0.027  0.960  |  0.030  0.965  |  0 hr 17 min 
0.0100    3.7    32.9  |  0.049  0.933  (0.731) |  0.030  0.958  |  0.019  0.968  |  0 hr 17 min 
0.0100    3.8    33.8  |  0.037  0.947  (0.753) |  0.025  0.965  |  0.030  0.953  |  0 hr 18 min 
0.0100    3.9    34.7  |  0.043  0.945  (0.752) |  0.025  0.962  |  0.040  0.938  |  0 hr 18 min 
0.0100    4.0    35.6  |  0.043  0.940  (0.760) |  0.025  0.968  |  0.035  0.939  |  0 hr 19 min 
0.0100    4.1    36.4  |  0.048  0.941  (0.763) |  0.030  0.955  |  0.018  0.975  |  0 hr 19 min 
0.0100    4.2    37.3  |  0.051  0.940  (0.749) |  0.023  0.967  |  0.013  0.987  |  0 hr 20 min 
0.0100    4.3    38.2  |  0.069  0.898  (0.635) |  0.021  0.970  |  0.046  0.951  |  0 hr 20 min 
