
--- [START 2018-08-23_22-25-07] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold2

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train2_3600
valid_dataset.split = list_valid2_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
-------------------------------------------------------------------------------------------------------------------------------
0.0000    0.0     0.0  |  0.178  0.258  (0.149) |  0.000  0.000  |  0.000  0.000  |  0 hr 00 min 
0.0100    0.1     0.9  |  0.084  0.880  (0.450) |  0.094  0.853  |  0.102  0.864  |  0 hr 00 min 
0.0100    0.2     1.8  |  0.068  0.906  (0.602) |  0.072  0.897  |  0.063  0.914  |  0 hr 01 min 
0.0100    0.3     2.7  |  0.062  0.897  (0.512) |  0.066  0.906  |  0.050  0.948  |  0 hr 01 min 
0.0100    0.4     3.6  |  0.058  0.918  (0.652) |  0.051  0.927  |  0.034  0.959  |  0 hr 02 min 
0.0100    0.5     4.4  |  0.055  0.923  (0.628) |  0.057  0.919  |  0.058  0.910  |  0 hr 02 min 
0.0100    0.6     5.3  |  0.043  0.935  (0.654) |  0.055  0.916  |  0.073  0.881  |  0 hr 03 min 
0.0100    0.7     6.2  |  0.048  0.928  (0.661) |  0.050  0.930  |  0.057  0.943  |  0 hr 03 min 
0.0100    0.8     7.1  |  0.053  0.930  (0.661) |  0.046  0.934  |  0.042  0.945  |  0 hr 04 min 
0.0100    0.9     8.0  |  0.045  0.930  (0.654) |  0.043  0.942  |  0.061  0.925  |  0 hr 04 min 
0.0100    1.0     8.9  |  0.041  0.943  (0.709) |  0.052  0.923  |  0.043  0.947  |  0 hr 05 min 
0.0100    1.1     9.8  |  0.041  0.939  (0.686) |  0.047  0.934  |  0.034  0.959  |  0 hr 05 min 
0.0100    1.2    10.7  |  0.049  0.928  (0.627) |  0.038  0.948  |  0.034  0.954  |  0 hr 06 min 
